ResponseId,Country,Industry,EdLevel,Employment,ICorPM,Pay_USD,LogPay,AISelect,LearnCodeAI,AIAgents,AI_IntensityScore,HighAI,DevType,DevType_bucket,OrgSize_clean,RemoteWork_clean,ExpBand,WorkExp_num,YearsCode_num,NumLangs,NumDBs,NumClouds,NumWeb,SQL_any,BI_any,ToolCountWork,ToolCountPersonal,JobSat,SOVisitFreq,SOPartFreq,AISent,AIAcc,AIComplex,AIThreat,SOFriction,NewRole,MainBranch_clean,MainBranch_sort,SOAccount_clean,HasSOAccount,SODuration_clean,SODuration_sort,SODuration_years,SOComm_clean,SOComm_likert,SOComm_sort,EmpAddl_none_of_the_above,EmpAddl_caring_for_dependents_children_elder,EmpAddl_engaged_in_paid_work_20_29_hours_per,EmpAddl_volunteering_regularly,EmpAddl_attending_school_full_time,EmpAddl_engaged_in_paid_work_less_than_10_ho,EmpAddl_attending_school_part_time,EmpAddl_engaged_in_paid_work_10_19_hours_per,EmpAddl_transitioning_to_retirement_graduall,EmpAddl_count,EmpAddl_Other
31775,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,,,,,,0.0,0,,,,,3–5,3.0,,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,0,0,0,0,1,0,0,0,0,1,0
37526,Czech Republic,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,65528.0,11.090232811195438,"Yes, I use AI tools monthly or infrequently","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","No, I use AI exclusively in copilot/autocomplete mode",1.8,0,DevOps engineer or professional,DevOps/Cloud,1k–4.9k,Remote,6–10,7.0,10.0,5,3,16,0,1,0,10.0,5.0,6.0,Multiple times per day,"Infrequently, less than once per year",Indifferent,Highly distrust,I don't use AI tools for complex tasks / I don't know,I'm not sure,"Rarely, almost never",I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
9101,Chile,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",,,,"No, and I don't plan to","No, I didn't spend time learning in the past year","No, and I don't plan to",-1.1,0,"Developer, full-stack",Other/Unknown,,,11–15,15.0,25.0,8,6,9,5,1,0,,,7.0,A few times per week,Less than once every 2 - 3 months,Very unfavorable,Highly distrust,I don't use AI tools for complex tasks / I don't know,No,I don't use AI or AI-enabled tools,I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,"No, not at all",1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
15460,Germany,Software Development,Some college/university study without earning a degree,Employed,Individual contributor,75410.0,11.230695171196691,"Yes, I use AI tools daily","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","No, and I don't plan to",1.9,0,"Developer, full-stack",Other/Unknown,10–49,Remote,16+,22.0,35.0,8,2,8,0,1,0,3.0,2.0,5.0,A few times per week,Less than once per month or monthly,Indifferent,Neither trust nor distrust,Neither good or bad at handling complex tasks,No,"Rarely, almost never",I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,"More than 15 years, or since Stack Overflow started in 2008",6.0,17.0,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
35231,,Software Development,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,,,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",,1.0,0,"Developer, back-end",Web/Fullstack,,,3–5,4.0,8.0,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0
2768,United States of America,,Some college/university study without earning a degree,Not employed,,,,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, and I don't plan to",2.2,0,Support engineer or analyst,Other/Unknown,,,11–15,15.0,11.0,7,3,2,1,1,0,10.0,4.0,,A few times per month or weekly,"Infrequently, less than once per year",Favorable,Highly distrust,Bad at handling complex tasks,I'm not sure,"Rarely, almost never",I have neither consider or transitioned into a new career or industry,Occasional coder,3.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,"No, not really",2.0,2.0,1,0,0,0,0,0,0,0,0,1,0
2005,Brazil,Computer Systems Design and Services,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,150.0,5.010635294096256,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, but I plan to",4.2,1,"Developer, back-end",Web/Fullstack,50–249,Remote,16+,20.0,22.0,7,4,6,3,1,0,4.0,1.0,10.0,Multiple times per day,Less than once every 2 - 3 months,Favorable,Somewhat trust,Neither good or bad at handling complex tasks,No,"Rarely, almost never",I have neither consider or transitioned into a new career or industry,Pro developer,1.0,Yes,1.0,"More than 15 years, or since Stack Overflow started in 2008",6.0,17.0,"Yes, somewhat",4.0,4.0,1,0,0,0,0,0,0,0,0,1,0
44025,India,,Some college/university study without earning a degree,Student,,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, but I plan to",3.7,0,Student,Other/Unknown,,,3–5,,4.0,3,0,0,0,0,0,,3.0,,A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Very favorable,Somewhat trust,"Good, but not great at handling complex tasks",Yes,More than half the time,I have neither consider or transitioned into a new career or industry,Learning to code,5.0,Yes,1.0,Between 1 and 3 years,2.0,2.0,"Yes, somewhat",4.0,4.0,0,0,0,0,1,0,0,0,0,1,0
35071,United States of America,Other:,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,80000.0,11.289781913656018,"No, and I don't plan to","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","No, and I don't plan to",-0.6000000000000001,0,"Developer, front-end",Web/Fullstack,50–249,Remote,16+,25.0,30.0,3,3,1,5,1,0,3.0,5.0,6.0,A few times per month or weekly,"Infrequently, less than once per year",Very unfavorable,Highly distrust,I don't use AI tools for complex tasks / I don't know,Yes,I don't use AI or AI-enabled tools,I have neither consider or transitioned into a new career or industry,Pro developer,1.0,Yes,1.0,"More than 15 years, or since Stack Overflow started in 2008",6.0,17.0,"No, not really",2.0,2.0,0,0,1,0,0,0,0,0,0,1,0
23086,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,,,,,,,0.0,0,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
