Policy Lever,Cohort Dimension,Cohort Value,Base HighAI Rate,Marginal ΔHighAI,Elasticity
Uses AI Agents,DevType_bucket,Mobile,0.2570194384449244,0.5486080269208695,2.134500138355988
Uses AI Agents,DevType_bucket,Web/Fullstack,0.23176526490852933,0.5486080269208695,2.367084761978411
Uses AI Agents,DevType_bucket,Other/Unknown,0.2180497498800795,0.5486080269208695,2.5159764100742454
Uses AI Agents,DevType_bucket,Data/ML,0.2758992805755396,0.5486080269208695,1.9884358733246639
Uses AI Agents,DevType_bucket,Security,0.23848238482384823,0.5486080269208695,2.3004132037931915
Uses AI Agents,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.5486080269208695,2.741205325149763
Uses AI Agents,ExpBand,6–10,0.2218349660889224,0.5486080269208695,2.473045780803376
Uses AI Agents,ExpBand,0–2,0.1631089217296114,0.5486080269208695,3.363445856323586
Uses AI Agents,ExpBand,3–5,0.18885916967089197,0.5486080269208695,2.904852477520047
Uses AI Agents,ExpBand,16+,0.22329135418140653,0.5486080269208695,2.4569156693598133
Uses AI Agents,ExpBand,11–15,0.24119203453558,0.5486080269208695,2.2745694233942055
Uses AI Agents,OrgSize_clean,10–49,0.2507127148326138,0.5486080269208695,2.188193874758777
Uses AI Agents,OrgSize_clean,250–999,0.23357354811360745,0.5486080269208695,2.3487592295940676
Uses AI Agents,OrgSize_clean,10k+,0.2290784432345231,0.5486080269208695,2.394847892166014
Uses AI Agents,OrgSize_clean,5k–9.9k,0.2350374064837905,0.5486080269208695,2.3341307033980763
Uses AI Agents,OrgSize_clean,50–249,0.23738532110091742,0.5486080269208695,2.311044441908204
Uses AI Agents,OrgSize_clean,1k–4.9k,0.22591522157996147,0.5486080269208695,2.428380093577239
Uses AI Agents,OrgSize_clean,Unknown,0.11410118406889128,0.5486080269208695,4.808083556693282
Uses AI Agents,OrgSize_clean,1,0.25681818181818183,0.5486080269208695,2.1361728481874565
Uses AI Agents,RemoteWork_clean,Remote,0.251472920915477,0.5486080269208695,2.1815789347166454
Uses AI Agents,RemoteWork_clean,Hybrid,0.23397276612662757,0.5486080269208695,2.344751639273946
Uses AI Agents,RemoteWork_clean,Onsite,0.20119323831620817,0.5486080269208695,2.7267716922903844
High AI Tool Usage (weekly/daily),DevType_bucket,Mobile,0.2570194384449244,0.3888919165817223,1.5130836754398103
High AI Tool Usage (weekly/daily),DevType_bucket,Web/Fullstack,0.23176526490852933,0.3888919165817223,1.677955998864653
High AI Tool Usage (weekly/daily),DevType_bucket,Other/Unknown,0.2180497498800795,0.3888919165817223,1.7835008606778986
High AI Tool Usage (weekly/daily),DevType_bucket,Data/ML,0.2758992805755396,0.3888919165817223,1.409543061404417
High AI Tool Usage (weekly/daily),DevType_bucket,Security,0.23848238482384823,0.3888919165817223,1.6306945138483582
High AI Tool Usage (weekly/daily),DevType_bucket,DevOps/Cloud,0.2001338688085676,0.3888919165817223,1.9431589410471342
High AI Tool Usage (weekly/daily),ExpBand,6–10,0.2218349660889224,0.3888919165817223,1.753068614195993
